CustomerID,Age,Gender,Income,Tenure,Number_of_Products,Activity_Score,Churn
CUST_000204,21,Female,27424,1.4,1,80.4,Yes
CUST_000205,19,Male,20000,0.4,1,47.8,Yes
CUST_000206,27,Female,20000,6.2,6,47.9,Yes
CUST_000207,34,Female,20000,5.4,3,100.0,No
CUST_000208,50,Female,44069,9.3,5,77.2,No
CUST_000209,37,Female,20000,1.2,2,64.5,Yes
CUST_000210,33,Female,20000,5.7,4,100.0,No
CUST_000211,43,Female,36726,2.7,6,100.0,No
CUST_000212,40,Male,35818,7.7,6,44.7,No
CUST_000213,31,Female,20000,4.6,1,24.3,Yes
CUST_000214,23,Female,26659,2.5,2,60.4,Yes
CUST_000215,44,Male,20000,1.7,1,70.0,Yes
CUST_000216,37,Female,26471,5.5,4,100.0,No
CUST_000217,23,Female,20000,2.2,2,13.5,Yes
CUST_000218,37,Female,20000,4.5,1,82.5,Yes
CUST_000219,28,Female,21969,3.1,2,49.0,Yes
CUST_000220,50,Female,20000,6.8,2,100.0,Yes
CUST_000221,26,Male,58015,5.5,5,100.0,No
CUST_000222,45,Female,20000,5.2,1,100.0,Yes
CUST_000223,52,Female,20000,7.5,2,40.5,No
CUST_000224,30,Female,20000,4.5,2,100.0,No
CUST_000225,34,Female,22709,4.1,2,53.8,No
CUST_000226,39,Female,25391,8.3,1,100.0,Yes
CUST_000227,37,Female,27513,5.5,4,100.0,No
CUST_000228,22,Female,31964,2.5,3,73.3,No
CUST_000229,30,Female,20000,4.4,3,100.0,No
CUST_000230,46,Male,41233,5.4,5,53.0,No
CUST_000231,31,Female,20000,5.3,3,5.1,Yes
CUST_000232,52,Female,32849,2.2,4,42.2,No
CUST_000233,46,Male,60413,8.2,4,100.0,No
CUST_000234,32,Female,20000,5.3,2,86.9,Yes
CUST_000235,30,Male,20000,6.2,3,100.0,No
CUST_000236,25,Male,20000,3.8,3,72.2,Yes
CUST_000237,25,Female,20000,4.6,1,55.2,Yes
CUST_000238,31,Female,41883,1.6,3,39.5,No
CUST_000239,28,Male,20000,1.7,1,75.1,Yes
CUST_000240,32,Male,20000,2.9,1,15.3,Yes
CUST_000241,45,Male,41259,7.3,3,100.0,No
CUST_000242,36,Female,31896,5.8,5,37.0,No
CUST_000243,43,Female,20000,1.3,1,52.8,Yes
CUST_000244,32,Male,20218,9.1,2,26.1,Yes
CUST_000245,36,Female,36908,4.3,2,39.9,No
CUST_000246,31,Male,49061,3.6,4,100.0,No
CUST_000247,32,Female,52591,3.5,1,74.3,No
CUST_000248,55,Male,54887,2.1,3,38.4,No
CUST_000249,29,Female,20000,2.2,5,100.0,Yes
CUST_000250,38,Female,59057,3.1,2,100.0,No
CUST_000251,27,Male,20000,4.9,3,100.0,No
CUST_000252,54,Female,20000,5.8,5,53.6,Yes
CUST_000253,26,Female,22367,2.9,1,56.3,Yes
CUST_000254,27,Female,44696,4.6,6,100.0,No
CUST_000255,47,Male,35911,8.6,4,38.5,No
CUST_000256,39,Male,23140,8.8,4,20.5,Yes
CUST_000257,31,Female,25735,6.1,1,34.7,Yes
CUST_000258,41,Female,31902,9.0,3,100.0,No
CUST_000259,33,Female,24424,9.5,5,25.6,Yes
CUST_000260,29,Male,20000,6.4,4,75.3,Yes
CUST_000261,31,Female,20000,1.7,2,4.1,Yes
CUST_000262,51,Female,28191,6.7,1,100.0,No
CUST_000263,44,Female,23617,4.8,5,100.0,No
CUST_000264,38,Female,23831,1.9,1,93.3,Yes
CUST_000265,35,Male,39018,3.2,5,100.0,No
CUST_000266,30,Female,20000,7.5,3,100.0,Yes
CUST_000267,30,Female,20000,3.8,1,50.7,Yes
CUST_000268,44,Female,27611,5.2,3,67.3,No
CUST_000269,23,Male,76142,1.3,5,100.0,No
CUST_000270,22,Female,20000,2.4,1,100.0,No
CUST_000271,41,Female,42205,5.9,5,44.0,No
CUST_000272,29,Female,20000,6.7,3,94.2,No
CUST_000273,47,Male,24996,10.1,4,100.0,Yes
CUST_000274,45,Female,20000,1.5,1,75.7,Yes
CUST_000275,34,Female,58656,2.8,8,61.9,No
CUST_000276,45,Female,28311,7.9,4,66.3,No
CUST_000277,45,Female,35213,1.8,1,63.4,No
CUST_000278,49,Male,20000,7.0,5,100.0,No
CUST_000279,30,Female,20000,6.1,3,100.0,No
CUST_000280,21,Male,24635,0.5,5,90.7,Yes
CUST_000281,18,Female,20000,0.1,2,58.4,Yes
CUST_000282,45,Female,31669,9.4,4,100.0,No
CUST_000283,33,Female,64924,4.0,8,4.3,No
CUST_000284,25,Male,26930,2.0,1,48.5,Yes
CUST_000285,36,Female,20000,0.5,2,77.1,Yes
CUST_000286,33,Male,20000,6.4,2,80.2,No
CUST_000287,34,Female,20000,1.2,1,63.8,Yes
CUST_000288,32,Female,20000,7.7,2,100.0,Yes
CUST_000289,42,Male,20344,3.3,4,68.2,Yes
CUST_000290,25,Male,22207,3.7,3,79.4,No
CUST_000291,33,Female,29546,5.2,2,100.0,No
CUST_000292,28,Male,26836,4.0,2,100.0,No
CUST_000293,40,Female,25883,3.7,4,77.2,No
CUST_000294,27,Female,23626,2.3,2,55.9,Yes
CUST_000295,24,Female,73567,0.8,2,54.5,No
CUST_000296,38,Female,20000,0.8,1,35.5,Yes
CUST_000297,37,Female,23138,4.8,4,45.8,Yes
CUST_000298,22,Female,20000,2.0,2,23.9,Yes
CUST_000299,47,Male,21280,5.8,3,51.6,Yes
CUST_000300,37,Male,20000,6.5,2,100.0,Yes
CUST_000301,30,Female,20000,4.5,6,63.1,Yes
CUST_000302,20,Male,20000,0.3,3,50.1,Yes
CUST_000303,43,Female,20000,7.5,2,57.4,Yes
CUST_000304,36,Female,24820,10.3,4,100.0,No
CUST_000305,40,Male,34560,3.8,4,71.8,No
CUST_000306,37,Female,20000,2.7,6,54.1,Yes
CUST_000307,21,Male,20000,1.7,2,100.0,Yes
CUST_000308,31,Female,23517,1.6,2,66.8,No
CUST_000309,44,Female,31753,8.3,7,100.0,No
CUST_000310,23,Female,28689,1.7,2,37.5,Yes
CUST_000311,32,Male,20000,4.8,3,100.0,Yes
CUST_000312,24,Male,20000,1.7,4,100.0,No
CUST_000313,42,Male,20000,9.0,2,100.0,No
CUST_000314,33,Female,20000,5.8,4,100.0,Yes
CUST_000315,41,Female,20000,5.4,2,63.2,No
CUST_000316,40,Male,20000,10.9,1,100.0,Yes
CUST_000317,54,Female,24086,8.0,2,100.0,No
CUST_000318,52,Female,28458,4.1,5,100.0,No
CUST_000319,23,Male,20000,1.9,4,17.9,Yes
CUST_000320,39,Female,22388,7.6,3,71.0,No
CUST_000321,55,Female,20000,3.2,3,49.9,Yes
CUST_000322,37,Male,20000,3.8,1,51.5,Yes
CUST_000323,58,Male,36944,3.5,2,44.5,No
CUST_000324,32,Male,20000,4.8,2,52.5,Yes
CUST_000325,46,Female,20000,4.0,1,94.3,No
CUST_000326,55,Female,36439,2.8,1,56.2,No
CUST_000327,26,Male,20000,0.9,2,37.1,Yes
CUST_000328,32,Male,28175,9.5,4,45.8,Yes
CUST_000329,55,Female,33939,6.1,4,100.0,No
CUST_000330,36,Male,20000,10.2,2,39.3,Yes
CUST_000331,42,Male,39283,8.1,4,100.0,No
CUST_000332,45,Female,20000,1.9,1,78.7,Yes
CUST_000333,29,Male,20000,3.8,2,100.0,No
CUST_000334,43,Female,20000,7.5,3,60.9,No
CUST_000335,39,Female,20000,6.1,3,100.0,Yes
CUST_000336,28,Female,39848,4.1,3,100.0,No
CUST_000337,30,Female,25607,8.0,4,100.0,No
CUST_000338,55,Male,20000,10.0,2,100.0,Yes
CUST_000339,26,Male,20000,2.3,1,60.4,Yes
CUST_000340,45,Male,74375,3.7,1,91.5,No
CUST_000341,37,Female,20000,7.6,2,82.3,Yes
CUST_000342,46,Female,20000,6.2,2,2.6,Yes
CUST_000343,44,Female,44768,1.9,3,75.2,No
CUST_000344,35,Female,20000,7.6,3,100.0,No
CUST_000345,29,Female,43628,4.0,5,89.6,No
CUST_000346,52,Female,20000,3.8,1,33.1,Yes
CUST_000347,49,Female,33907,12.1,5,100.0,No
CUST_000348,37,Female,20000,10.0,2,96.1,No
CUST_000349,36,Female,20000,9.9,6,6.8,Yes
CUST_000350,25,Female,22878,3.5,1,99.7,Yes
CUST_000351,45,Male,40686,4.3,1,10.3,No
CUST_000352,53,Female,20000,5.1,1,95.3,Yes
CUST_000353,25,Female,20000,1.5,2,56.7,Yes
CUST_000354,26,Male,39266,1.1,1,52.3,No
CUST_000355,29,Male,26602,8.1,4,90.5,Yes
CUST_000356,29,Male,27500,8.4,4,46.0,Yes
CUST_000357,35,Female,36836,5.4,2,44.7,No
CUST_000358,34,Female,28944,10.7,6,100.0,No
CUST_000359,25,Male,22526,1.8,1,63.9,Yes
CUST_000360,54,Male,47723,1.6,2,100.0,No
CUST_000361,26,Female,20000,5.5,2,78.3,Yes
CUST_000362,34,Female,22718,5.3,5,98.4,Yes
CUST_000363,28,Female,32621,4.0,4,91.8,No
CUST_000364,49,Female,20000,3.4,1,48.4,Yes
CUST_000365,31,Male,45360,7.8,6,100.0,No
CUST_000366,36,Female,27009,10.4,4,44.8,Yes
CUST_000367,55,Male,20000,7.1,2,67.7,Yes
CUST_000368,32,Female,20394,4.7,1,39.0,Yes
CUST_000369,38,Male,20000,5.5,6,100.0,No
CUST_000370,27,Female,22303,2.7,2,55.4,Yes
CUST_000371,34,Female,20000,9.9,4,100.0,No
CUST_000372,41,Female,20000,7.7,2,77.5,Yes
CUST_000373,25,Male,20000,2.0,3,25.4,Yes
CUST_000374,32,Female,20000,3.3,2,46.8,Yes
CUST_000375,38,Female,21734,2.4,1,78.6,Yes
CUST_000376,22,Male,20000,0.7,2,95.6,Yes
CUST_000377,41,Female,20000,1.6,2,49.3,Yes
CUST_000378,37,Male,23822,5.0,3,100.0,No
CUST_000379,30,Male,20000,5.6,1,75.2,Yes
CUST_000380,35,Male,36670,9.9,6,84.5,No
CUST_000381,55,Female,46990,11.7,8,100.0,No
CUST_000382,24,Female,20000,0.9,2,74.5,Yes
CUST_000383,35,Male,50861,8.8,5,100.0,No
CUST_000384,49,Female,24427,4.4,6,100.0,Yes
CUST_000385,27,Female,20000,3.4,1,15.4,Yes
CUST_000386,31,Male,40237,3.6,2,86.9,No
CUST_000387,46,Female,57266,7.9,8,100.0,No
CUST_000388,35,Male,38028,2.5,2,68.2,No
CUST_000389,29,Male,20000,6.1,2,75.8,No
CUST_000390,25,Male,20000,1.7,4,100.0,Yes
CUST_000391,44,Female,21075,4.4,1,100.0,No
CUST_000392,57,Female,96492,2.7,5,100.0,No
CUST_000393,37,Female,20000,3.3,2,59.3,Yes
CUST_000394,43,Female,37518,12.2,8,100.0,No
CUST_000395,30,Female,21030,3.9,1,32.5,Yes
CUST_000396,26,Female,33902,7.2,7,100.0,No
CUST_000397,24,Female,20000,1.6,1,100.0,No
CUST_000398,40,Female,21387,1.6,1,42.1,Yes
CUST_000399,49,Male,20000,4.6,3,40.6,Yes
CUST_000400,32,Female,20000,4.9,4,73.7,No
CUST_000401,43,Female,35973,10.5,8,17.1,No
CUST_000402,34,Male,20000,10.3,7,100.0,No
CUST_000403,41,Male,28262,3.1,3,88.7,Yes
CUST_000404,31,Female,22875,2.6,2,67.4,Yes
CUST_000405,20,Male,20000,0.9,1,89.2,Yes
CUST_000406,28,Female,20000,3.6,1,33.7,Yes
CUST_000407,29,Female,25768,1.5,2,22.6,Yes
CUST_000408,34,Male,22621,7.0,8,72.9,Yes
CUST_000409,40,Male,24697,4.7,3,100.0,Yes
CUST_000410,23,Female,20000,1.3,3,41.9,Yes
CUST_000411,24,Male,20000,4.8,2,96.1,No
CUST_000412,33,Male,22443,5.8,4,100.0,No
CUST_000413,51,Male,54732,12.6,4,59.4,No
CUST_000414,38,Female,30992,5.4,2,45.4,No
CUST_000415,24,Female,20000,1.9,2,47.8,Yes
CUST_000416,22,Female,20000,0.6,2,96.4,Yes
CUST_000417,31,Female,20000,3.4,1,48.8,Yes
CUST_000418,32,Female,20000,3.6,4,100.0,No
CUST_000419,47,Male,20000,9.3,6,100.0,Yes
CUST_000420,24,Male,20000,1.0,3,73.6,Yes
CUST_000421,39,Male,23873,11.7,4,93.5,No
CUST_000422,25,Female,58839,0.8,1,48.9,No
CUST_000423,50,Female,29155,7.6,4,19.6,Yes
CUST_000424,46,Female,36758,3.2,4,68.2,No
CUST_000425,45,Female,40931,8.5,6,100.0,No
CUST_000426,45,Male,21947,5.3,1,68.2,No
CUST_000427,30,Female,20000,5.1,2,100.0,Yes
CUST_000428,52,Male,20000,2.6,2,46.9,Yes
CUST_000429,32,Female,24791,8.2,2,39.1,No
CUST_000430,39,Female,24689,3.5,1,34.4,Yes
CUST_000431,52,Male,20000,2.4,2,71.2,Yes
CUST_000432,22,Female,35986,3.3,4,100.0,No
CUST_000433,47,Female,20000,11.5,8,100.0,No
CUST_000434,40,Female,100609,9.6,8,67.3,No
CUST_000435,42,Male,30183,1.7,2,39.4,Yes
CUST_000436,26,Male,20915,2.3,1,33.2,Yes
CUST_000437,27,Male,56331,0.8,3,100.0,No
CUST_000438,34,Male,20000,4.8,3,100.0,Yes
CUST_000439,34,Male,20000,7.5,4,44.9,Yes
CUST_000440,30,Male,20000,6.7,2,94.9,Yes
CUST_000441,50,Female,24143,5.1,3,81.8,No
CUST_000442,18,Female,21703,0.1,1,17.8,Yes
CUST_000443,32,Female,20221,5.3,4,90.6,Yes
CUST_000444,23,Male,41271,1.1,2,69.1,No
CUST_000445,51,Female,33133,10.5,3,94.6,No
CUST_000446,38,Female,30301,6.6,3,100.0,No
CUST_000447,31,Male,28032,5.1,5,99.4,Yes
CUST_000448,25,Female,20000,4.7,3,87.2,Yes
CUST_000449,38,Male,26316,7.7,6,100.0,No
CUST_000450,24,Male,23303,0.9,3,41.2,Yes
CUST_000451,38,Female,20000,4.2,3,30.0,Yes
CUST_000452,54,Male,42536,6.7,6,45.5,No
CUST_000453,52,Male,20000,3.8,1,28.5,Yes
CUST_000454,26,Female,74535,3.7,1,9.4,No
CUST_000455,51,Male,26156,8.8,2,84.2,Yes
CUST_000456,21,Male,20000,0.8,3,100.0,Yes
CUST_000457,32,Female,30597,2.7,2,97.5,No
CUST_000458,27,Female,29220,1.0,2,16.8,Yes
CUST_000459,20,Female,55143,1.0,2,33.7,No
CUST_000460,44,Female,61213,3.9,7,88.3,No
CUST_000461,47,Female,20000,8.8,5,100.0,No
CUST_000462,46,Male,22323,2.3,4,100.0,Yes
CUST_000463,36,Female,20000,6.5,8,33.0,Yes
CUST_000464,38,Male,34476,6.4,2,100.0,No
CUST_000465,55,Female,55862,1.5,3,65.7,No
CUST_000466,32,Female,20000,4.2,3,96.6,Yes
CUST_000467,38,Male,23048,5.8,1,100.0,Yes
CUST_000468,29,Male,20000,4.4,4,54.7,Yes
CUST_000469,47,Female,39309,7.9,4,100.0,No
CUST_000470,46,Female,31356,8.8,7,43.0,No
CUST_000471,38,Male,42824,3.1,6,100.0,No
CUST_000472,36,Female,20000,7.6,3,89.4,Yes
CUST_000473,36,Female,22025,4.2,3,95.3,Yes
CUST_000474,38,Female,28970,4.6,2,100.0,No
CUST_000475,22,Male,20000,0.8,1,49.4,Yes
CUST_000476,38,Female,27624,6.6,1,76.0,No
CUST_000477,53,Female,51128,9.4,1,100.0,No
CUST_000478,28,Female,62730,5.6,1,89.5,No
CUST_000479,38,Male,20000,5.7,2,100.0,No
CUST_000480,34,Female,67036,2.4,4,39.4,No
CUST_000481,31,Female,20000,3.4,3,60.3,Yes
CUST_000482,45,Female,39113,4.9,1,57.5,No
CUST_000483,29,Female,20000,6.2,3,67.9,Yes
CUST_000484,44,Male,20000,5.6,4,59.7,No
CUST_000485,37,Male,43435,6.0,5,85.4,No
CUST_000486,23,Male,20000,1.9,4,33.0,Yes
CUST_000487,29,Male,41437,7.5,6,100.0,No
CUST_000488,35,Male,33684,1.7,2,20.1,Yes
CUST_000489,29,Female,26782,2.0,2,82.6,No
CUST_000490,33,Male,29885,4.9,3,26.5,Yes
CUST_000491,34,Female,39479,5.4,6,100.0,No
CUST_000492,29,Male,34654,5.4,1,68.8,No
CUST_000493,25,Female,20000,0.9,2,39.0,Yes
CUST_000494,40,Male,29934,1.8,2,78.9,No
CUST_000495,18,Female,41047,0.1,2,66.2,No
CUST_000496,31,Male,22756,3.5,2,57.8,Yes
